Date;MSI GEFORCE RTX 3090 SUPRIM X 24G
2020-11-18;2540.85
2020-11-19;2412.42
2020-11-20;2406.91
2020-11-21;2385.42
2020-11-22;2428.27
2020-11-23;2363.01
2020-11-24;2400.95
2020-11-25;2366.66
2020-11-26;2338
2020-11-27;2345.42
2020-11-28;2362.22
2020-11-29;2358.97
2020-11-30;2281.25
2020-12-01;2372.44
2020-12-02;2376.51
2020-12-03;2396.63
2020-12-04;2346.01
2020-12-05;2390.43
2020-12-06;2433.61
2020-12-07;2471.44
2020-12-08;2432
2020-12-09;2358.38
2020-12-10;2365.59
2020-12-11;2435.31
2020-12-12;2460.98
2020-12-13;2495.31
2020-12-14;2455.78
2020-12-15;2489.42
2020-12-16;2424.6
2020-12-17;2480.82
2020-12-18;2455.62
2020-12-19;2374.79
2020-12-20;2410.94
2020-12-21;2436.98
2020-12-22;2385.5
2020-12-23;2377.89
2020-12-24;2356.83
2020-12-25;2347.39
2020-12-26;2368.87
2020-12-27;2369.72
2020-12-28;2388.83
2020-12-29;2371.08
2020-12-30;2358.09
2020-12-31;2344.08
2021-01-01;2344.08
2021-01-02;2344.08
2021-01-03;2344.08
2021-01-04;2344.08
2021-01-05;2344.08
2021-01-06;2344.08
2021-01-07;2350.02
2021-01-08;2367.19
2021-01-09;2364.15
2021-01-10;2379.42
2021-01-11;2453.78
2021-01-12;2496.44
2021-01-13;2510.42
2021-01-14;2389.45
2021-01-15;2535.4
2021-01-16;2516.54
2021-01-17;2511.68
2021-01-18;2237.63
2021-01-19;2270.77
2021-01-20;2290.36
2021-01-21;2318.31
2021-01-22;2314.17
2021-01-23;2307.37
2021-01-24;2309.04
2021-01-25;2326.21
2021-01-26;2314.11
2021-01-27;2313.9
2021-01-28;2227.71
2021-01-29;2231.03
2021-01-30;2261.8
2021-01-31;2261.49
2021-02-01;2252.09
2021-02-02;2274.42
2021-02-03;2192.22
2021-02-04;2197.34
2021-02-05;2198
2021-02-06;2200.16
2021-02-07;2204.96
2021-02-08;2195.65
2021-02-09;2230.23
2021-02-10;2263.53
2021-02-11;2253.54
2021-02-12;2293.71
2021-02-13;2314.86
2021-02-14;2313.66
2021-02-15;2356.91
2021-02-16;2483.89
2021-02-17;2439.95
2021-02-18;2417.02
2021-02-19;2447.52
2021-02-20;2425.5
2021-02-21;2435.82
2021-02-22;2444.53
2021-02-23;2445.72
2021-02-24;2451.88
2021-02-25;2463.02
2021-02-26;2480.48
2021-02-27;2432.69
2021-02-28;2426.06
2021-03-01;2425.32
2021-03-02;2487.63
2021-03-03;2534.58
2021-03-04;2555.87
2021-03-05;2509.34
2021-03-06;2564.83
2021-03-07;2566.72
2021-03-08;2570.49
2021-03-09;2566.59
2021-03-10;2559.16
2021-03-11;2557.96
2021-03-12;2461.27
2021-03-13;2496.57
2021-03-14;2497.52
2021-03-15;2524.46
2021-03-16;2518.93
2021-03-17;2546.58
2021-03-18;2521.37
2021-03-19;2484.37
2021-03-20;2504.31
2021-03-21;2503.89
2021-03-22;2494.28
2021-03-23;2516.33
2021-03-24;2520.3
2021-03-25;2503.8
2021-03-26;2533.59
2021-03-27;2529.92
2021-03-28;2538.69
2021-03-29;2567.87
2021-03-30;2547.62
2021-03-31;2485.78
2021-04-01;2551.98
2021-04-02;2642.2
2021-04-03;2626.17
2021-04-04;2626.45
2021-04-05;2629.87
2021-04-06;2574.33
2021-04-07;2570.95
2021-04-08;2599.85
2021-04-09;2619.97
2021-04-10;2643.22
2021-04-11;2637.71
2021-04-12;2640.01
2021-04-13;2668.12
2021-04-14;2690.84
2021-04-15;2616.96
2021-04-16;2601.74
2021-04-17;2571.16
2021-04-18;2617.25
2021-04-19;2632.97
2021-04-20;2633.97
2021-04-21;2628.89
2021-04-22;2624.82
2021-04-23;2624.17
2021-04-24;2625.77
2021-04-25;2640.45
2021-04-26;2645.23
2021-04-27;2649.37
2021-04-28;2671.87
2021-04-29;2657.25
2021-04-30;2663.09
2021-05-01;2681.05
2021-05-02;2671.93
2021-05-03;2669.53
2021-05-04;2661.18
2021-05-05;2661.54
2021-05-06;2664.78
2021-05-07;2658.22
2021-05-08;2652.39
2021-05-09;2704.59
2021-05-10;2702.49
2021-05-11;2665.71
2021-05-12;2702.83
2021-05-13;2692.71
2021-05-14;2723.87
2021-05-15;2714.19
2021-05-16;2695.75
2021-05-17;2703.79
2021-05-18;2722.03
2021-05-19;2721.95
2021-05-20;2819.23
2021-05-21;2839.31
2021-05-22;2832.11
2021-05-23;2784.92
2021-05-24;2782.18
2021-05-25;2749.89
2021-05-26;2747.75
2021-05-27;2744.81
2021-05-28;2749.08
2021-05-29;2749.63
2021-05-30;2746.22
2021-05-31;2899.59
2021-06-01;2889.82
2021-06-02;2900.09
2021-06-03;3049.02
2021-06-04;3046.31
2021-06-05;3025.52
2021-06-06;3022.46
2021-06-07;3022.15
2021-06-08;3026.88
2021-06-09;3047.83
2021-06-10;3046.51
2021-06-11;3022.27
2021-06-12;3026.79
2021-06-13;2988.98
2021-06-14;2956.63
2021-06-15;2998.63
2021-06-16;2957.7
2021-06-17;2946.28
2021-06-18;2949.55
2021-06-19;2946.41
2021-06-20;2960.88
2021-06-21;2926.43
2021-06-22;2896.89
2021-06-23;2859.53
2021-06-24;2780.46
2021-06-25;2717.85
2021-06-26;2714.7
2021-06-27;2714.7
2021-06-28;2730.46
2021-06-29;2689.71
2021-06-30;2674.58
2021-07-01;2708.71
2021-07-02;2706.04
2021-07-03;2715.07
2021-07-04;2688.11
2021-07-05;2689.52
2021-07-06;2678.79
2021-07-07;2693.84
2021-07-08;2668.81
2021-07-09;2647.53
2021-07-10;2650.7
2021-07-11;2735.23
2021-07-12;2675.47
2021-07-13;2693.13
2021-07-14;2665.58
2021-07-15;2707.97
2021-07-16;2660.1
2021-07-17;2648.74
2021-07-18;2655.52
2021-07-19;2639.5
2021-07-20;2603.59
2021-07-21;2626.62
2021-07-22;2672.68
2021-07-23;2719.68
2021-07-24;2717.83
2021-07-25;2724.3
2021-07-26;2720.35
2021-07-27;2733.3
2021-07-28;2694.9
2021-07-29;2690.04
2021-07-30;2695.28
2021-07-31;2691.19
2021-08-01;2692.72
2021-08-02;2679.46
2021-08-03;2668.8
2021-08-04;2641.6
2021-08-05;2627.2
2021-08-06;2686.74
2021-08-07;2689.03
2021-08-08;2705.28
2021-08-09;2715.28
2021-08-10;2724.79
2021-08-11;2824.75
2021-08-12;2810.4
2021-08-13;2784.32
2021-08-14;2783.23
2021-08-15;2733.53
2021-08-16;2733.23
2021-08-17;2793.44
2021-08-18;2727.9
2021-08-19;2713.1
2021-08-20;2717.44
2021-08-21;2737.61
2021-08-22;2767.17
2021-08-23;2765.08
2021-08-24;2739.33
2021-08-25;2764.62
2021-08-26;2762.28
2021-08-27;2751.9
2021-08-28;2815.89
2021-08-29;2767.66
2021-08-30;2761.41
2021-08-31;2744.24
