Date;MSI GEFORCE RTX 3080 SUPRIM X 10G
2020-11-13;1449
2020-11-14;1439.99
2020-11-15;1399.99
2020-11-16;1099
2020-11-17;1099
2020-11-18;1349
2020-11-19;1347
2020-11-20;1358.59
2020-11-21;1322.59
2020-11-22;1346.79
2020-11-23;1423.79
2020-11-24;1419.79
2020-11-25;1409.79
2020-11-26;1381.79
2020-11-27;1447.79
2020-11-28;1425.99
2020-11-29;1406.99
2020-11-30;1377.79
2020-12-01;1341.53
2020-12-02;1337.33
2020-12-03;1331.53
2020-12-04;1341.33
2020-12-05;1351.33
2020-12-06;1350.52
2020-12-07;1364.53
2020-12-08;1421.2
2020-12-09;1421.4
2020-12-10;1347.4
2020-12-11;1369.4
2020-12-12;1315.79
2020-12-13;1351.39
2020-12-14;1335.59
2020-12-15;1338.6
2020-12-16;1329.39
2020-12-17;1396.33
2020-12-18;1353.93
2020-12-19;1368.25
2020-12-20;1366.87
2020-12-21;1360.81
2020-12-22;1383.63
2020-12-23;1403.81
2020-12-24;1357.76
2020-12-25;1357.34
2020-12-26;1365.39
2020-12-27;1349.27
2020-12-28;1389.14
2020-12-29;1370.27
2020-12-30;1368.89
2020-12-31;1357.46
2021-01-01;1357.46
2021-01-02;1357.46
2021-01-03;1357.46
2021-01-04;1357.46
2021-01-05;1357.46
2021-01-06;1357.46
2021-01-07;1377.57
2021-01-08;1400.68
2021-01-09;1454.91
2021-01-10;1461.23
2021-01-11;1458.35
2021-01-12;1465.79
2021-01-13;1462.87
2021-01-14;1360.96
2021-01-15;1402.68
2021-01-16;1437.29
2021-01-17;1437.74
2021-01-18;1200.97
2021-01-19;1207.51
2021-01-20;1206.5
2021-01-21;1219.66
2021-01-22;1243.93
2021-01-23;1252.31
2021-01-24;1272.73
2021-01-25;1293.49
2021-01-26;1289.18
2021-01-27;1301.62
2021-01-28;1227.34
2021-01-29;1225.69
2021-01-30;1231.84
2021-01-31;1234.34
2021-02-01;1232.82
2021-02-02;1225.56
2021-02-03;1124.5
2021-02-04;1127.78
2021-02-05;1127.7
2021-02-06;1125.63
2021-02-07;1143.76
2021-02-08;1147.07
2021-02-09;1159.06
2021-02-10;1239.27
2021-02-11;1255.34
2021-02-12;1348.06
2021-02-13;1378.83
2021-02-14;1371.13
2021-02-15;1369.44
2021-02-16;1405.88
2021-02-17;1351.28
2021-02-18;1351.28
2021-02-19;1351.28
2021-02-20;1346.99
2021-02-21;1346.99
2021-02-22;1367.53
2021-02-23;1346.99
2021-02-24;1318.42
2021-02-25;1239.91
2021-02-26;1239.91
2021-02-27;1232.78
2021-02-28;1224.59
2021-03-01;1224.59
2021-03-02;1239.91
2021-03-03;1187.06
2021-03-04;1187.06
2021-03-05;1162.43
2021-03-06;1205.3
2021-03-07;1205.3
2021-03-08;1205.3
2021-03-09;1205.3
2021-03-10;1200.63
2021-03-11;1200.63
2021-03-12;1200.63
2021-03-13;1205.3
2021-03-14;1205.3
2021-03-15;1206.35
2021-03-16;1206.35
2021-03-17;1222.99
2021-03-18;1222.99
2021-03-19;1222.99
2021-03-20;1199.92
2021-03-21;1199.92
2021-03-22;1199.92
