Date;MSI RX 6800 XT GAMING X TRIO 16G
2020-12-31;2030
2021-01-01;2030
2021-01-02;2030
2021-01-03;2030
2021-01-04;2030
2021-01-05;2030
2021-01-06;2030
2021-01-07;1299.99
2021-01-08;1899.97
2021-01-09;1899.97
2021-01-10;1898
2021-01-11;1759.99
2021-01-12;1759.99
2021-01-13;1759.9
2021-01-14;1759.9
2021-01-15;1759.9
2021-01-16;1759.9
2021-01-17;1699
2021-01-18;1650
2021-01-19;1631.75
2021-01-20;1570.67
2021-01-21;1402.11
2021-01-22;1367.95
2021-01-23;1360.81
2021-01-24;1346.67
2021-01-25;1351.69
2021-01-26;1331.57
2021-01-27;1325.87
2021-01-28;1299.35
2021-01-29;1299.88
2021-01-30;1292.45
2021-01-31;1306.64
2021-02-01;1287.85
2021-02-02;1322.69
2021-02-03;1375.21
2021-02-04;1343.99
2021-02-05;1314.29
2021-02-06;1299.85
2021-02-07;1344.4
2021-02-08;1345.04
2021-02-09;1342.05
2021-02-10;1495.41
2021-02-11;1488.11
2021-02-12;1378.46
2021-02-13;1364.14
2021-02-14;1366.69
2021-02-15;1366.69
2021-02-16;1381.06
2021-02-17;1344.52
2021-02-18;1348.74
2021-02-19;1406.69
2021-02-20;1452.24
2021-02-21;1426.99
2021-02-22;1492.66
2021-02-23;1482.05
2021-02-24;1573.18
2021-02-25;1536.94
2021-02-26;1560.98
2021-02-27;1490.84
2021-02-28;1490.88
2021-03-01;1540.66
2021-03-02;1511.16
2021-03-03;1509
2021-03-04;1508.28
2021-03-05;1566.21
2021-03-06;1503.99
2021-03-07;1515.42
2021-03-08;1518.42
2021-03-09;1632.45
2021-03-10;1548.99
2021-03-11;1540.69
2021-03-12;1565.45
2021-03-13;1547.84
2021-03-14;1502.85
2021-03-15;1503.85
2021-03-16;1478.99
2021-03-17;1584.41
2021-03-18;1586.07
2021-03-19;1677.83
2021-03-20;1716.63
2021-03-21;1616.52
2021-03-22;1604.36
2021-03-23;1635.63
2021-03-24;1729.69
2021-03-25;1774.39
2021-03-26;1726.72
2021-03-27;1763.08
2021-03-28;1753.99
2021-03-29;1753.9
2021-03-30;1738.72
2021-03-31;1726.81
2021-04-01;1717.35
2021-04-02;1711.26
2021-04-03;1612.1
2021-04-04;1631.33
2021-04-05;1627.48
2021-04-06;1666.77
2021-04-07;1672.12
2021-04-08;1660.44
2021-04-09;1748.57
2021-04-10;1765.93
2021-04-11;1769.47
2021-04-12;1779.68
2021-04-13;1774.31
2021-04-14;1838.25
2021-04-15;1775.54
2021-04-16;1730.16
2021-04-17;1685.53
2021-04-18;1838.19
2021-04-19;1812.19
2021-04-20;1832.29
2021-04-21;1821.09
2021-04-22;1810.29
2021-04-23;1803.69
2021-04-24;1813.79
2021-04-25;1818.09
2021-04-26;1812.99
2021-04-27;1800.79
2021-04-28;1812.89
2021-04-29;1818.09
2021-04-30;1817.89
2021-05-01;1812.39
2021-05-02;1745.74
2021-05-03;1737.41
2021-05-04;1737.41
2021-05-05;1737.32
2021-05-06;1728.08
2021-05-07;1734.32
2021-05-08;1732.57
2021-05-09;1751.82
2021-05-10;1748.24
2021-05-11;1769.08
2021-05-12;1795.74
2021-05-13;1828.99
2021-05-14;1811.33
2021-05-15;1811.33
2021-05-16;1811.33
2021-05-17;1813.91
2021-05-18;1978.36
2021-05-19;1978.36
2021-05-20;2066.92
2021-05-21;2057.53
2021-05-22;2063.86
2021-05-23;2044.82
2021-05-24;1858.86
2021-05-25;1861.43
2021-05-26;1869.13
2021-05-27;1910.49
2021-05-28;1888.62
2021-05-29;1885
2021-05-30;1927.95
