Date;MSI GEFORCE RTX 3070 SUPRIM X 8G
2021-07-17;999.24
2021-07-18;1000.55
2021-07-19;1037.02
2021-07-20;1029.36
2021-07-21;1037.46
2021-07-22;1035.15
2021-07-23;1026.53
2021-07-24;1023.06
2021-07-25;1038.84
2021-07-26;1024.37
2021-07-27;1033.93
2021-07-28;1043.47
2021-07-29;1027.59
2021-07-30;1025.83
2021-07-31;1026.11
2021-08-01;1034.47
2021-08-02;1036.16
2021-08-03;1036.97
2021-08-04;1038.82
2021-08-05;1042.24
2021-08-06;1038.52
2021-08-07;1036.97
2021-08-08;1036.31
2021-08-09;1043.91
2021-08-10;1043.93
2021-08-11;1032.16
2021-08-12;1052.58
2021-08-13;1053.64
2021-08-14;1059.74
2021-08-15;1067.77
2021-08-16;1076.01
2021-08-17;1073.84
2021-08-18;1071.45
2021-08-19;1068.42
2021-08-20;1095.83
2021-08-21;1081.19
2021-08-22;1081.19
2021-08-23;1081.79
2021-08-24;1066.02
2021-08-25;1070.02
2021-08-26;1075.95
2021-08-27;1082.36
2021-08-28;1052.56
2021-08-29;1037.6
2021-08-30;1037.6
2021-08-31;1064.22
2021-09-01;1119.35
2021-09-02;1115.84
2021-09-03;1089.89
2021-09-04;1091.37
2021-09-05;1105.85
2021-09-06;1093.11
2021-09-07;1091.34
2021-09-08;1114.58
2021-09-09;1114.84
2021-09-10;1092.94
2021-09-11;1130.2
2021-09-12;1099.83
2021-09-13;1088.75
2021-09-14;1130.63
2021-09-15;1132.95
2021-09-16;1141.08
2021-09-17;1136.32
2021-09-18;1130.14
2021-09-19;1098.05
2021-09-20;1096.62
2021-09-21;1093.62
2021-09-22;1129.49
2021-09-23;1132.01
2021-09-24;1104.48
2021-09-25;1150.44
2021-09-26;1147.39
2021-09-27;1157.58
2021-09-28;1118.97
2021-09-29;1142.85
2021-09-30;1141.15
2021-10-01;1143.26
2021-10-02;1124.13
2021-10-03;1125.1
2021-10-04;1121.32
2021-10-05;1084.2
2021-10-06;1096.58
2021-10-07;1130.68
2021-10-08;1101.62
2021-10-09;1131.29
2021-10-10;1129.33
2021-10-11;1115.33
2021-10-12;1119.36
2021-10-13;1121.01
2021-10-14;1106.32
2021-10-15;1106.31
2021-10-16;1102.16
2021-10-17;1075.83
2021-10-18;1075.72
2021-10-19;1054.88
2021-10-20;1042.72
2021-10-21;1017.39
2021-10-22;1017.39
2021-10-23;1017.39
2021-10-24;979.89
2021-10-25;1012.78
2021-10-26;1012.78
2021-10-27;1045.85
2021-10-28;1023.48
2021-10-29;1015.9
2021-10-30;1047.45
2021-10-31;1033.71
2021-11-01;1029.58
2021-11-02;1040.87
2021-11-03;1042.05
2021-11-04;1033.65
2021-11-05;1036.31
2021-11-06;1039.44
2021-11-07;1042.43
2021-11-08;1047.64
2021-11-09;1219.07
2021-11-10;1218.85
2021-11-11;1241.05
2021-11-12;1235.68
2021-11-13;1249.33
2021-11-14;1207.88
2021-11-15;1273.47
2021-11-16;1262.97
2021-11-17;1293.5
2021-11-18;1436.92
2021-11-19;1420.01
2021-11-20;1420.1
2021-11-21;1423.71
2021-11-22;1428.31
2021-11-23;1423.67
2021-11-24;1359.05
2021-11-25;1359.05
2021-11-26;1319.75
2021-11-27;1392.02
2021-11-28;1411.07
2021-11-29;1385.88
2021-11-30;1402.08
2021-12-01;1466.66
2021-12-02;1649.38
2021-12-03;1499.01
2021-12-04;1510.17
2021-12-05;1395.51
2021-12-06;1419.63
2021-12-07;1424.12
2021-12-08;1513.77
2021-12-09;1552.94
2021-12-10;1449.41
2021-12-11;1448.08
2021-12-12;1448.07
2021-12-13;1499.75
2021-12-14;1500.07
2021-12-15;1499.49
2021-12-16;1496.19
2021-12-17;1458.44
2021-12-18;1458.6
2021-12-19;1464.02
2021-12-20;1464.11
2021-12-21;1445.27
2021-12-22;1443.2
2021-12-23;1432.68
2021-12-24;1436.23
2021-12-25;1436.29
2021-12-26;1433.16
2021-12-27;1434.93
2021-12-28;1429.7
2021-12-29;1430.9
2021-12-30;1480.26
2021-12-31;1509.44
2022-01-01;1499.59
2022-01-02;1487.13
2022-01-03;1486.49
2022-01-04;1475.05
2022-01-05;1536.81
2022-01-06;1531.02
2022-01-07;1506.23
2022-01-08;1576.02
2022-01-09;1504.38
2022-01-10;1572.9
2022-01-11;1526.64
2022-01-12;1527.03
2022-01-13;1526.45
2022-01-14;1526.35
2022-01-15;1537.87
2022-01-16;1489.52
2022-01-17;1555.69
2022-01-18;1556.01
2022-01-19;1542.94
2022-01-20;1339.27
2022-01-21;1340.87
2022-01-22;1338.31
2022-01-23;1303.41
2022-01-24;1333.1
2022-01-25;1329.12
2022-01-26;1318.18
2022-01-27;1312.18
2022-01-28;1310.59
2022-01-29;1312.36
2022-01-30;1275.48
2022-01-31;1304.98
2022-02-01;1299.82
2022-02-02;1300.46
2022-02-03;1296.49
2022-02-04;1296.37
2022-02-05;1294.7
2022-02-06;1270.23
2022-02-07;1267.55
2022-02-08;1280.41
2022-02-09;1258.89
2022-02-10;1249.08
2022-02-11;1250.15
2022-02-12;1241.16
2022-02-13;1263.31
2022-02-14;1268.85
2022-02-15;1262.59
2022-02-16;1264.72
2022-02-17;1248.24
2022-02-18;1235.31
2022-02-19;1248.26
2022-02-20;1237.66
2022-02-21;1236.65
2022-02-22;1225.9
2022-02-23;1224.11
2022-02-24;1217.27
2022-02-25;1215.03
2022-02-26;1220.77
2022-02-27;1240.73
2022-02-28;1240.39
2022-03-01;1243.04
2022-03-02;1247.23
2022-03-03;1244.48
2022-03-04;1250.51
2022-03-05;1244.31
2022-03-06;1242.65
2022-03-07;1229.51
2022-03-08;1215.2
2022-03-09;1207.9
2022-03-10;1207.12
2022-03-11;1196.02
2022-03-12;1205.18
2022-03-13;1207.26
2022-03-14;1212.99
2022-03-15;1202.23
2022-03-16;1189.15
2022-03-17;1168.07
2022-03-18;1167.14
2022-03-19;1138.84
2022-03-20;1138.96
2022-03-21;1137.34
2022-03-22;1137.48
2022-03-23;1113.15
2022-03-24;1099.29
2022-03-25;1064.75
2022-03-26;1098.02
2022-03-27;1109.59
2022-03-28;1111.98
2022-03-29;1107.54
2022-03-30;1075.22
2022-03-31;1087.97
2022-04-01;1071.9
2022-04-02;1066.76
2022-04-03;1072.71
2022-04-04;1065.61
2022-04-05;1040.96
2022-04-06;1036.69
2022-04-07;1028.61
2022-04-08;1032.27
2022-04-09;1016.83
2022-04-10;1044.27
2022-04-11;1108.08
2022-04-12;1068.17
2022-04-13;1089.38
2022-04-14;1076.48
2022-04-15;1095
2022-04-16;1097.06
2022-04-17;1100.2
2022-04-18;1088.53
2022-04-19;1084.53
2022-04-20;1091.05
2022-04-21;1083.12
2022-04-22;1059.47
2022-04-23;1047.35
2022-04-24;1048.57
2022-04-25;1059.83
2022-04-26;1049.51
2022-04-27;1065
2022-04-28;1061.97
2022-04-29;1077.28
2022-04-30;1058.08
2022-05-01;1074.45
2022-05-02;1062.95
2022-05-03;1041.4
2022-05-04;1038.42
2022-05-05;1017.22
2022-05-06;993.4
2022-05-07;1009.66
2022-05-08;1010.79
2022-05-09;1006.47
2022-05-10;1021.83
2022-05-11;1018.25
2022-05-12;1033.83
2022-05-13;1016.41
2022-05-14;1013.9
2022-05-15;1031.47
2022-05-16;1000.82
2022-05-17;996.3
2022-05-18;1012.71
2022-05-19;983.15
2022-05-20;967.25
2022-05-21;965.44
2022-05-22;936.37
2022-05-23;927.46
2022-05-24;935.83
2022-05-25;918.77
2022-05-26;915.57
2022-05-27;914.88
2022-05-28;915.56
2022-05-29;931.45
2022-05-30;913.95
2022-05-31;920.24
2022-06-01;895.98
2022-06-02;892.3
2022-06-03;875.32
2022-06-04;880.16
2022-06-05;881.89
2022-06-06;877.03
2022-06-07;883.64
2022-06-08;877.34
2022-06-09;877.94
2022-06-10;862.19
2022-06-11;848.96
2022-06-12;845.93
2022-06-13;840.83
2022-06-14;847.52
2022-06-15;841.59
2022-06-16;856.48
2022-06-17;855.25
2022-06-18;843
2022-06-19;843
2022-06-20;837.36
2022-06-21;835.08
2022-06-22;824.9
2022-06-23;823.96
2022-06-24;832.71
2022-06-25;840.82
2022-06-26;837.63
2022-06-27;839.31
2022-06-28;832.75
2022-06-29;835.93
2022-06-30;829.38
2022-07-01;826.41
2022-07-02;829.36
2022-07-03;811.73
2022-07-04;818.69
2022-07-05;820.19
2022-07-06;805.07
2022-07-07;806.31
2022-07-08;807.08
2022-07-09;767.69
2022-07-10;772.05
2022-07-11;770.09
2022-07-12;764.96
2022-07-13;756.96
2022-07-14;766.91
2022-07-15;764.02
2022-07-16;768.88
2022-07-17;762.06
2022-07-18;771.4
2022-07-19;761.39
2022-07-20;762.76
2022-07-21;759.35
2022-07-22;765.76
2022-07-23;759.09
2022-07-24;772.25
2022-07-25;770.28
2022-07-26;767.16
2022-07-27;770.6
2022-07-28;776.64
2022-07-29;764.02
2022-07-30;766.93
2022-07-31;768.69
2022-08-01;767.14
2022-08-02;754.95
2022-08-03;752.39
2022-08-04;752.62
2022-08-05;736.35
2022-08-06;732.77
2022-08-07;732.72
2022-08-08;732.87
2022-08-09;735.23
2022-08-10;736.21
2022-08-11;726.01
2022-08-12;725.27
2022-08-13;723.6
2022-08-14;723.97
2022-08-15;725.43
2022-08-16;727.16
2022-08-17;723.61
2022-08-18;721.93
2022-08-19;704.68
2022-08-20;715.12
2022-08-21;713.13
