Date;MSI RX 6700 XT GAMING X 12G
2021-11-23;1146.43
2021-11-24;1153.63
2021-11-25;1160.73
2021-11-26;1160.14
2021-11-27;1161.58
2021-11-28;1160.57
2021-11-29;1166.77
2021-11-30;1172
2021-12-01;1173.86
2021-12-02;1190.12
2021-12-03;1174.52
2021-12-04;1181.49
2021-12-05;1182.47
2021-12-06;1187.02
2021-12-07;1174.48
2021-12-08;1145.06
2021-12-09;1146.91
2021-12-10;1151.78
2021-12-11;1162.11
2021-12-12;1176.18
2021-12-13;1165.58
2021-12-14;1177.51
2021-12-15;1164.37
2021-12-16;1163.77
2021-12-17;1158.5
2021-12-18;1152.35
2021-12-19;1153.96
2021-12-20;1154.54
2021-12-21;1149.6
2021-12-22;1147.79
2021-12-23;1149.05
2021-12-24;1139.91
2021-12-25;1133.51
2021-12-26;1131.99
2021-12-27;1128.38
2021-12-28;1126.51
2021-12-29;1128.75
2021-12-30;1141.57
2021-12-31;1142.63
2022-01-01;1144.44
2022-01-02;1140.05
2022-01-03;1131.3
2022-01-04;1135.57
2022-01-05;1129.81
2022-01-06;1133.42
2022-01-07;1130.66
2022-01-08;1130.03
2022-01-09;1123.94
2022-01-10;1122.95
2022-01-11;1128.24
2022-01-12;1127.75
2022-01-13;1125.25
2022-01-14;1127.84
2022-01-15;1127.83
2022-01-16;1128.17
2022-01-17;1123.06
2022-01-18;1124.37
2022-01-19;1122.16
2022-01-20;1111
2022-01-21;1119.82
2022-01-22;1117.5
2022-01-23;1113.39
2022-01-24;1121.37
2022-01-25;1123.24
2022-01-26;1117.77
2022-01-27;1095.6
2022-01-28;1089.16
2022-01-29;1086.64
2022-01-30;1087.63
2022-01-31;1085.55
2022-02-01;1081.56
2022-02-02;1082.02
2022-02-03;1080.13
2022-02-04;1081.62
2022-02-05;1074.71
2022-02-06;1078.67
2022-02-07;1078.51
2022-02-08;1078.65
2022-02-09;1074.91
2022-02-10;1065.38
2022-02-11;1055.47
2022-02-12;1055.62
2022-02-13;1056.9
2022-02-14;1060.89
2022-02-15;1061
2022-02-16;1058.89
2022-02-17;1058.56
2022-02-18;1051.78
2022-02-19;1049.69
2022-02-20;1055.51
2022-02-21;1055.67
2022-02-22;1056.77
2022-02-23;1052.61
2022-02-24;1062.49
2022-02-25;1057.95
2022-02-26;1061.68
2022-02-27;1054.78
2022-02-28;1053.77
2022-03-01;1054.58
2022-03-02;1052.65
2022-03-03;1038.58
2022-03-04;1040.84
2022-03-05;1037.33
2022-03-06;1034.6
2022-03-07;1031.79
2022-03-08;1031.73
2022-03-09;1028.8
2022-03-10;1025.24
2022-03-11;1021.21
2022-03-12;1018.25
2022-03-13;1010.1
2022-03-14;1008.87
2022-03-15;1011.97
2022-03-16;1002.2
2022-03-17;995.53
2022-03-18;998.18
2022-03-19;997.24
2022-03-20;992.63
2022-03-21;984.76
2022-03-22;986.05
2022-03-23;980.14
2022-03-24;977.64
2022-03-25;966.24
2022-03-26;965.61
2022-03-27;963.56
2022-03-28;966.66
2022-03-29;958.15
2022-03-30;954.56
2022-03-31;960.69
2022-04-01;947.04
2022-04-02;948.33
2022-04-03;950.39
2022-04-04;940.88
2022-04-05;939.06
2022-04-06;930.12
2022-04-07;919.12
2022-04-08;925.8
2022-04-09;926.7
2022-04-10;924.15
2022-04-11;921.12
2022-04-12;914.54
2022-04-13;912.8
2022-04-14;899.93
2022-04-15;904.82
2022-04-16;896.43
2022-04-17;903.23
2022-04-18;902.32
2022-04-19;901.49
2022-04-20;896.18
2022-04-21;896.6
2022-04-22;893.35
2022-04-23;878.17
2022-04-24;874.54
2022-04-25;871.16
2022-04-26;862.02
2022-04-27;869.67
2022-04-28;868.79
2022-04-29;869.55
2022-04-30;863.87
2022-05-01;860.68
2022-05-02;858.32
2022-05-03;816.11
2022-05-04;798.84
2022-05-05;798.06
2022-05-06;803.89
2022-05-07;803.85
2022-05-08;798.53
2022-05-09;801.6
2022-05-10;804.27
2022-05-11;803.33
2022-05-12;792.03
2022-05-13;794.85
2022-05-14;788.9
2022-05-15;792.1
2022-05-16;782.68
2022-05-17;780.73
2022-05-18;794.16
2022-05-19;766.51
2022-05-20;756.13
2022-05-21;759.1
2022-05-22;754.34
2022-05-23;752.53
2022-05-24;756.22
2022-05-25;757.2
2022-05-26;748.64
2022-05-27;748.7
2022-05-28;751.42
2022-05-29;758.36
2022-05-30;750.01
2022-05-31;747.49
2022-06-01;733.78
2022-06-02;724.52
2022-06-03;722.24
2022-06-04;720.86
2022-06-05;720.44
2022-06-06;719.7
2022-06-07;714.06
2022-06-08;712.3
2022-06-09;710.22
2022-06-10;710.16
